Details,Predict Type of finding,Type of finding
ขณะเดินผ่าน LV-8100 ได้ยินเสียง IA leak จึงทำการเข้าไปตรวจสอบ พบว่ามี IA leak บริเวณ Regulator ของ LV-8100 ขณะ Control valve fail close จะเกิดแรงดันเพิ่มขึ้นในระบบของ Condensate MC2 อาจทำให้ Condensate MC2 leak ออกนอกระบบ แล้วถูกผู้ปฎิบัติงานที่ทำงานอยู่บริเวณนั้นๆ ได้รับบาดเจ็บได้,Near Miss,Near Miss
มีละอองน้ำมันจาก Pump Diaphragm หกลงพื้นเนื่องจากไม่มีถาดรอง,Unsafe Condition,Unsafe Condition
ถอดรองเท้า Safety เพื่อลงไปทำงานบริเวณที่น้ำท่วมขัง,Unsafe Action,Unsafe Action
Rigger สวมใส่เสื้อสะท้องแสงสีน้ำเงิน,Unsafe Action,Unsafe Action
ขณะทำการเก็บ Sampling routine กำลังเปิด B/V Outlet S-801เห็นมี HC leak packing,Near Miss,Near Miss
"มีงานเปลี่ยน B/V , Check valve line hot methane passing ที่ M-760A ขณะทำการรื่อ Insulation พบ bolts ยึด cover check valve corrosion under insulation และ bolts ขาด หลุดออกจาก cover check valve หากมี Hydrocarbon leak ขณะ line กำลังใช้งานอยู่ และมี Hot work บริเวณนั้นอาจเกิดการลุกติดไฟและเกิดการระเบิด ทำให้อุปกรณ์รอบข้าง(M-760AB,D-760,F-760AB,Control valves) เสียหาย ทำให้ Plant emergency shutdown ศูนย์เสียโอกาสการผลิต",Near Miss,Near Miss
ไม่ได้ตรวจวัดแก๊สตามมาตรการที่กำหนดทุก 2 ชั่วโมง,Unsafe Action,Unsafe Action
วาง Coil น้ำหนักมากกว่า 200 Kg. บนนั่งร้านที่ไม่ได้ออกแบบ/ คำนวณการรับน้ำหนัก,Unsafe Condition,Unsafe Condition
นำสว่านเจาะขึ้นไปใช้งานบนที่สูงโดยไม่มีเชือกผูกมัด,Unsafe Condition,Unsafe Condition
Modify นั่งร้านโดยช่างประกอบ (ไม่ใช่ช่างนั่งร้าน) และมีแผ่นนั่งร้านที่ไม่ได้ผูกมัด/ ไม่ได้ตรวจสอบโดย Inspector,Unsafe Action,Unsafe Action
Modify นั่งร้านโดยไม่มี Work Permit,,Unsafe Action
"ขณะกำลัง Log sheet ได้กลิ่น HC บริเวณ E-422 จึงตามหากลิ่นที่มา พบ Hydrocarbon Leak อยู่ภายในตู้ Analyzer AT-302 (AH-05)
จึงทำการแจ้ง BM Cold ให้แจ้ง กับทาง HOT Section ต่อไป",Near Miss,Near Miss
งานตัดเจียร Nozzle ผู้ปฏิบัติงานไม่สวมใส่ Face Shield ป้องกันใบหน้า,Unsafe Action,Unsafe Action
Pipe line chanel มีจุดบาดคม บริเวณที่มีการ Cold cut ออก >> นำถุงพลาสติดปิดคลุมไว้ชั่วคราว,Unsafe Action,Unsafe Condition
วาง Generator ไว้ใกล้ถังอาร์กอน,Unsafe Action,Unsafe Condition
นั่งร้านติดตั้งกินที่ ไม่สามารถเปิดประตูรถ Load ได้,Unsafe Action,Unsafe Condition
ในเวลา 22:00 ได้เดิน log sheet ตามปกติ แต่มีสิ่งผิดปกติคือ Level D-962 เพิ่มขึ้นจากกะเช้าในเวลา 16:00 ที่ 8% เป็น 22:00 เพิ่มเป็น 10% จึงได้แจ้ง BM เพื่อ drain HC ใน D-962 พร้อมทั้งทำการค้นหาสาเหตุว่าทำไม Level D-962 จึงเพิ่มขึ้น ทั้งที่ปกติจะไม่มีการขึ้น ประกอบกันวันนี้ช่วงเวลาประมาณ 16:00 ฝนตกหนัก มี Condition loop GHU-1 มีการ Swing ที่รุนแรง จึงค้นหาว่าเกิดจากอะไรได้บ้าง โดยเบื้องต้นได้ทำการ list Check PSV ใน Loop GHU-1 ทั้งหมดว่ามีตัวไหนที่ทำงานผิดปกติหรือไม่ จึงได้ไปพบกับ PSV-8006A (D-801) ที่ Service ใช้งานอยู่ บริเวณ line outlet มีความร้อนสูงกว่าตัวอื่นๆ พร้อมทั้งมีเสียงดังเหมือนมีของไหล,Near Miss,Near Miss
ติดตั้งนั่งร้านโดยไม่มีแผ่น Plate รองเสา,Unsafe Condition,Unsafe Condition
ถาดรองน้ำมัน Air compressor มีคราบน้ำมันจำนวนมาก >> จัดเตรียมแผ่นซับน้ำมันและนำถัง 200 ลิตรจัดเก็บเพื่อส่งกำจัด,Unsafe Condition,Unsafe Condition
Air compressor มีความร้อนสูง,,Unsafe Condition
ไม่ได้ติดตั้ง Hard Barricade ที่ชั้น 7 บริเวณช่องเปิด Handrail,Unsafe Condition,Unsafe Condition
ทำงานเชื่อมขณะที่มีน้ำขังอยู่,Unsafe Action,Unsafe Action
กระจก Pressure Gauge แตก,,Near Miss
กองเก็บอุปกรณ์นั่งร้านโดยไม่ได้ปิดล้อมพื้นที่,Unsafe Condition,Unsafe Condition
ผูกธงขาว-แดงเพื่อปิดล้อมพื้นที่กับอุปกรณ์ Plant,Unsafe Action,Unsafe Condition
ปิดล้อมพื้นที่กีดขวางอุปกรณ์ดับเพลิง,Unsafe Action,Unsafe Condition
วางอุปกรณ์นั่งร้านกีดขวางทางเดิน (ชั้น 6-7),Unsafe Condition,Unsafe Condition
พบว่า มี Temp TI-8364 (Outlet Temp E-831) มีค่าเพิ่มขึ้นสูงจากปกติ แต่ไม่มีการแจ้งเตือนของ Alarm ที่ Graphic DCS และไม่ Show Tag จาก Status Normal (Green) เป็น Alarm High (Red),Near Miss,Near Miss
ไม่มี Rack วาง Tube เก่า วางกระจายบน Grating,Unsafe Condition,Unsafe Condition
วาง Tube บนนั่งร้านจำนวนมาก ทำให้นั่งร้านงอ,,Unsafe Condition
แสงสว่างไม่เพียงพอในงาน Grinding Coil ด้านใน CSE,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานไม่สวมใส่ถุงมือขณะปฏิบัติงานดึงสอด Tube ,Unsafe Action,Unsafe Action
