FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
800,HDPE4,-,-,Unsafe Condition,Chemical Work,PPE ป้องกันใบหน้าและตา ไม่มีกระบังหน้าใส ไม่สอดคล้องกับลักษณะงานที่ทำ (ใช้หินเจียร์) และJSA ที่ประเมินไว้,ซ่อมรอยรั่ว อาคาร Substation,Leak repair in Substation building,1,"ppe ป้องกันใบหน้า , ตา ไม่มีกระบังหน้าใส ไม่สอดคล้อง , ลักษณะงานที่ทำ ใช้หินเจียร์ , jsa ที่ประเมินไว้","face protection ppe , eyes no clear visor inconsistent , nature of work used grindstone , jsa evaluated"
803,PP3,-,-,Unsafe Condition,PPE,ปิดล้อมพื้นที่แล้ว แต่ไม่มี barricade tag,"ติดตั้งอุปกรณ์หัวจ่ายมิเตอร์ ",Installation of metering devices,25,ปิดล้อมพื้นที่แล้ว แต่ไม่มี barricade tag,"The area is already cordoned off, but there is no barricade tag."
804,PP2,-,-,Unsafe Condition,Electrical & Grounding,เปิด work permit เป็นงานขนย้ายอุปกรณ์นั่งร้าน แต่การทำงานที่หน้างานจริงเป็นตั้งนั่งร้าน,ตั้งนั่งร้าน TK2505H,Set scaffolding TK2505H,49,เปิด work permit เป็นงานขนย้ายอุปกรณ์นั่งร้าน แต่การทำงานที่หน้างานจริงเป็นตั้งนั่งร้าน,Open a work permit as a job to move scaffolding equipment But working at the actual site is setting up scaffolding.
808,HDPE1,-,-,Unsafe Condition,Insulation,ตรวจสอบเอกสาร Work Permit พบไม่ลงข้อมูล LOTO ทวนสอบที่กล่องล๊อคบล๊อค LOTO ล๊อคครบ,"Install Cover E-2204,E-2224,E-224","Install Cover E-2204,E-2224,E-224",24,ตรวจสอบเอกสาร work permit พบไม่ลงข้อมูล loto ทวนสอบที่กล่องล๊อคบล๊อค loto ล๊อคครบ,"Check the work permit document. Found that there is no loto information entered. Verify that the lock box, lock loto, complete lock."
809,Catalyst&Pilot plant,-,-,Unsafe Condition,-,"ตรวจสอบพบ Grander 4 นิ้ว พบมีการทำงานแต่ไม่สวมใส่ Handle ","Install Chain Link ",Install Chain Link,1,"ตรวจสอบพบ gear , zero นิ้ว พบมีการทำงานแต่ไม่สวมใส่ , let","Detected gear , zero finger Found working but not wearing , let"
810,Catalyst&Pilot plant,-,-,Unsafe Condition,Housekeeping,"ตรวจสอบพบมีการทำงานบนที่สูงพบคู่ร่วมธุรกิจไม่คล้องเกี่ยว Safety Harness ",Install Metal Sheet,Install Metal Sheet,9,ตรวจสอบพบมีการทำงานบนที่สูงพบคู่ร่วมธุรกิจไม่คล้องเกี่ยว safety hardness,Investigated working at height found business partners unrelated to safety hardness
811,Catalyst&Pilot plant,-,-,Unsafe Condition,Tools & Equipment,ตรวจสอบพบ Work Permit พบหัวข้อที่ 4 ตรวจสอบสภาพหน้างานตามเวลา พบไม่มีการตรวจสอบโดย Permit Requester และพบ Permit Requester  ไม่เซ็นเอกสาร แต่พบเป็นพนักงานท่านอื่นเซ็นแทน,เก็บสี Support Install Lighting,Store Color Support Install Lighting,4,"ตรวจสอบพบ work permit พบหัวข้อที่ ตรวจสอบสภาพหน้างานตามเวลา พบไม่มี ตรวจสอบโดย permit requestor , พบ permit requestor ไม่เซ็นเอกสาร แต่พบเป็นพนักงานท่าอื่นแทน","Check found work permit, found topic that checked on-site conditions by time, found none, checked by permit requestor, found permit requestor did not sign the document But found another employee instead"
812,Catalyst&Pilot plant,-,-,Unsafe Condition,Tools & Equipment,ตรวจสอบ JSA ที่นำมาใช้เป็น JSA ของ SCG CHEMICALS มาใช้ในพื้นที่ TPE โดย JSA ของ TPE เป็นเอกสาร HS-F-0007 Rev.016,เก็บสี Support Install Lighting,Store Color Support Install Lighting,1,ตรวจสอบ jsa ที่นำมาใช้เป็น jsa ของ scaffoldingfg chemicals มาใช้ในพื้นที่ tape โดย jsa ของ tape เป็นเอกสาร revamp.,Check if the jsa implemented is the jsa of scaffoldingfg chemicals used in the tape area where the jsa of tape is the revamp document.
813,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ตรวจสอบพบ MASK ที่ใช้งาน หมดอายุ (ตามรูปแนบ) ปี 2015 MASK มีอายุ 7 ปี (MASK หมดอายุการใช้งาน 5 ปี และสภาพชำรุด),"Install Insulation ",Install Insulation,12,"ตรวจสอบพบ mask ที่ใช้งาน หมดอายุ ตามรูปแนบปีน maskมี อายุปีน maskหมดอายุการใช้งาน ปีน , สภาพชำรุด","Check found a mask that is in use, expired, as in the attached picture, mask is age, mask is expired, condition is damaged"
814,HDPE2,-,-,Unsafe Condition,PPE,ตรวจสอบเอกสารมีการ มีการกำหนด Lock Box แต่ไม่มีลงข้อมูล,งานเชื่อม line Steam,welding line steam,6,ตรวจสอบเอกสารมี มีการการ กำหนด lock แต่boxไม่มีลงข้อมูล,"Verify that the document has a lock set, but the box is not entered."
