No.,Details,Area,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
2528,ขณะเดินผ่าน LV-8100 ได้ยินเสียง IA leak จึงทำการเข้าไปตรวจสอบ พบว่ามี IA leak บริเวณ Regulator ของ LV-8100 ขณะ Control valve fail close จะเกิดแรงดันเพิ่มขึ้นในระบบของ Condensate MC2 อาจทำให้ Condensate MC2 leak ออกนอกระบบ แล้วถูกผู้ปฎิบัติงานที่ทำงานอยู่บริเวณนั้นๆ ได้รับบาดเจ็บได้,ARU,MOC (OPE),Near Miss,Process & Operation,ขณะเดินผ่าน lv-8100 ได้ยินเสียง ia leak จึงทำการเข้าไปตรวจสอบ พบว่ามี ia leak บริเวณ regulator ของ lv-8100 ขณะ control valve fail close จะเกิดแรงดันเพิ่มขึ้นในระบบของ condensate mc2 อาจทำให้ condensate mc2 leak ออกนอกระบบ แล้วถูกผู้ปฎิบัติงานที่ทำงานอยู่บริเวณนั้นๆ ได้รับบาดเจ็บได้,"Walked through the lv-8100, heard an ia leak sound, so went in and checked, found that there was an ia leak in the regulator of lv-8100 while the control valve fails close, there will be an increase in pressure in the system of the condensate mc2. This may cause the condensate mc2 to leak out of the system. and then was the worker working in that area get injured"
2529,มีละอองน้ำมันจาก Pump Diaphragm หกลงพื้นเนื่องจากไม่มีถาดรอง,HOT,HDS,Unsafe Condition,Water jet,มีละอองน้ำมันจาก pump diaphragm หกลงพื้นเนื่องจากไม่มีถาดรอง,Oil mist from the pump diaphragm spilled onto the floor due to lack of tray.
2530,ถอดรองเท้า Safety เพื่อลงไปทำงานบริเวณที่น้ำท่วมขัง,UT,CN,Unsafe Action,PPE,"ถอดรองเท้า safety , ลงไปทำงานบริเวณที่น้ำท่วมขัง","Take off your safety shoes, go down to work in the flooded area."
2531,Rigger สวมใส่เสื้อสะท้องแสงสีน้ำเงิน,TFU,Flow lab,Unsafe Action,Lifting,rigger สวมใส่เสื้อสะท้องแสงสีน้ำเงิน,The rigger is wearing a bright blue shirt.
2532,ขณะทำการเก็บ Sampling routine กำลังเปิด B/V Outlet S-801เห็นมี HC leak packing,ARU,MOC (OPE),Near Miss,Process & Operation,"ขณะทำการเก็บ sampling routine กำลังเปิด b, v outlet s-801เห็นมี hc leak packing","While collecting the sampling routine opening b, v outlet s-801 hc leak packing"
2533,"มีงานเปลี่ยน B/V , Check valve line hot methane passing ที่ M-760A ขณะทำการรื่อ Insulation พบ bolts ยึด cover check valve corrosion under insulation และ bolts ขาด หลุดออกจาก cover check valve หากมี Hydrocarbon leak ขณะ line กำลังใช้งานอยู่ และมี Hot work บริเวณนั้นอาจเกิดการลุกติดไฟและเกิดการระเบิด ทำให้อุปกรณ์รอบข้าง(M-760AB,D-760,F-760AB,Control valves) เสียหาย ทำให้ Plant emergency shutdown ศูนย์เสียโอกาสการผลิต",OCU,MOC (OPE),Near Miss,Process & Operation,"มีงานเปลี่ยน b, v , check valve line hot methane passing ที่ m-760a ขณะทำการรื่อ insulation พบ bolts ยึด cover check valve corrosion under insulation , bolts ขาด หลุดออกจาก cover check valve หากมี hydrocarbon leak ขณะ line กำลังใช้งานอยู่ , มี hot work บริเวณนั้นอาจเกิดการลุกติดไฟ, เกิดการระเบิด ทำให้อุปกรณ์รอบข้าง(m-760ab , d-760 , f-760ab , control valves) เสียหาย ทำให้ plant emergency shutdown ศูนย์เสียโอกาสการผลิต","Work has been replaced b, v , check valve line hot methane passing at m-760a while insulation was found bolts fixing cover check valve corrosion under insulation , bolts torn from cover check valve if there was a hydrocarbon leak while line was in use. , there is hot work in the area that may catch fire, explosion Damage to surrounding equipment (m-760ab , d-760 , f-760ab , control valves) causing plant emergency shutdown to lose production opportunities."
2534,ไม่ได้ตรวจวัดแก๊สตามมาตรการที่กำหนดทุก 2 ชั่วโมง,HOT,RNC,Unsafe Action,Hot Work,ไม่ได้ตรวจวัดแก๊สตามมาตรการที่กำหนดทุก 2 ชั่วโมง,Gas is not measured according to the prescribed measures every 2 hours.
2535,วาง Coil น้ำหนักมากกว่า 200 Kg. บนนั่งร้านที่ไม่ได้ออกแบบ/ คำนวณการรับน้ำหนัก,HOT,RNC,Unsafe Condition,Scaffolding,"วาง coil น้ำหนักมากกว่า 200 kg. บนนั่งร้านที่ไม่ได้ออกแบบ, คำนวณการรับน้ำหนัก","Place coil weighing more than 200 kg. on undesigned scaffolding, calculate the load."
2536,นำสว่านเจาะขึ้นไปใช้งานบนที่สูงโดยไม่มีเชือกผูกมัด,UT,ตะวัน,Unsafe Condition,Work at height,นำสว่านเจาะขึ้นไปใช้งานบนที่สูงโดยไม่มีเชือกผูกมัด,Use the drill bit to work on high ground without ropes.
2537,Modify นั่งร้านโดยช่างประกอบ (ไม่ใช่ช่างนั่งร้าน) และมีแผ่นนั่งร้านที่ไม่ได้ผูกมัด/ ไม่ได้ตรวจสอบโดย Inspector,TFU,PROTECH,Unsafe Action,Scaffolding,"modify นั่งร้านโดยช่างประกอบ (ไม่ใช่ช่างนั่งร้าน) , มีแผ่นนั่งร้านที่ไม่ได้ผูกมัด, ไม่ได้ตรวจสอบโดย inspector","modify scaffolding by assembly technician (not scaffolding) , with unbonded scaffolding sheet, not inspected by inspector"
2538,Modify นั่งร้านโดยไม่มี Work Permit,TFU,PROTECH,Unsafe Action,PTW & JSA,modify นั่งร้านโดยไม่มี work permit,modify scaffolding without work permit
2539,"ขณะกำลัง Log sheet ได้กลิ่น HC บริเวณ E-422 จึงตามหากลิ่นที่มา พบ Hydrocarbon Leak อยู่ภายในตู้ Analyzer AT-302 (AH-05)
จึงทำการแจ้ง BM Cold ให้แจ้ง กับทาง HOT Section ต่อไป",COLD,MOC (OPE),Near Miss,Process & Operation,"ขณะกำลัง log sheet ได้กลิ่น hc บริเวณ e-422 จึงตามหากลิ่นที่มา พบ hydrocarbon leak อยู่ภายในตู้ analyzer at-302 (ah-05), จึงทำการแจ้ง bm cold ให้แจ้ง , ทาง hot section ต่อไป","While log sheet smelled hc around e-422, searched for the source of smell, found hydrocarbon leak inside the analyzer at-302 (ah-05), inform bm cold , through hot section next."
